Entidad,Confirmados,Sospechosos,Negativos,Recuperados,Fallecidos,,,URL,,,Notas
Ags,62,19,701,12,1,,,http://www.aguascalientes.gob.mx/coronavirus/,,,Los fallecidosy recuperados no están dentro de la cuenta de confirmados
BC,304,327,728,,25,,,http://www.bajacalifornia.gob.mx/coronavirus,,,Parece que la página tiene malware
BCS,87,137,,1,3,,,https://coronavirus.bcs.gob.mx/,,,
Camp,,,,,,,,https://www.campeche.gob.mx/,,,
CDMX,1040,2188,3505,,46,,,https://twitter.com/GobCDMX,,,
Chih,,,,,,,,,,,
Chis,,,,,,,,,,,
Coah,,,,,,,,,,,
Col,,,,,,,,,,,
Dgo,,,,,,,,,,,
EdoMex,,,,,,,,,,,
Gro,,,,,,,,,,,
Gto,,,,,,,,,,,
Hgo,,,,,,,,,,,
Jal,,,,,,,,,,,
Mich,,,,,,,,,,,
Mor,,,,,,,,,,,
Nay,,,,,,,,,,,
NL,,,,,,,,,,,
Oax,,,,,,,,,,,
Pue,,,,,,,,,,,
Qro,,,,,,,,,,,
QRoo,,,,,,,,,,,
Sin,,,,,,,,,,,
SLP,,,,,,,,,,,
Son,,,,,,,,,,,
Tab,,,,,,,,,,,
Tamps,,,,,,,,,,,
Tlax,,,,,,,,,,,
Ver,,,,,,,,,,,
Yuc,,,,,,,,,,,
Zac,,,,,,,,,,,
Nacional,,,,,,,,,,,
