"","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","TotalEdad"
"10 años y menos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3
"10 años y 1 día-20 años",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,4,5,4,3,8,4,3,1,44
"20 años y 1 día-30 años",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,5,1,9,9,5,12,16,9,10,12,28,21,30,27,203
"30 años y 1 día-40 años",1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,8,2,4,7,7,20,12,13,10,5,18,32,35,30,211
"40 años y 1 día-50 años",1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,1,7,2,3,16,5,6,11,8,4,15,28,31,28,37,210
"50 años y 1 día-60 años",1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,4,3,5,4,9,5,9,11,2,13,15,21,22,30,163
"60 años y 1 día-70 años",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,0,1,5,4,2,1,2,5,11,8,15,8,13,85
"70 años y 1 día-80 años",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,4,1,0,1,6,0,2,2,2,6,7,7,5,3,50
"más de 80 años",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,5
"TotalFecha",3,1,1,0,0,0,0,1,1,0,0,0,3,4,11,15,11,30,10,24,45,38,46,55,50,37,68,112,131,132,145,974
